id,user_id,submitted_at,problem_rating,rating_difference,max_rating_difference,avg_solved_rating,max_solved_rating,historical_solve_rate,total_attempts,avg_tag_familiarity,avg_tag_success,strongest_tag_success,weakest_tag_success,recent_7d_solve_rate,recent_7d_attempts,recent_30d_solve_rate,recent_30d_attempts,recent_wrong_answer_rate,recent_tle_rate,recent_runtime_error_rate,recent_compilation_error_rate,previous_problem_attempts,previous_problem_failures,previous_problem_solved,avg_attempts_before_solve,solved
46,2,2025-07-09 04:47:14,800.0,700.0,700.0,1500.0,1500.0,0.5,0,0.0,0.5,0.5,0.5,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0
45,2,2025-07-09 04:51:24,800.0,700.0,700.0,1500.0,1500.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1.0,1,1,0,1.0,1
44,2,2025-08-10 05:29:11,800.0,0.0,0.0,800.0,800.0,0.5,2,1.3333333333333333,0.5,0.5,0.5,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0,0,0,2.0,1
43,2,2026-04-04 16:33:12,800.0,0.0,0.0,800.0,800.0,0.6666666666666666,3,1.75,0.7777777777777777,1.0,0.6666666666666666,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0,0,0,1.5,0
42,2,2026-04-04 16:37:16,800.0,0.0,0.0,800.0,800.0,0.5,4,2.75,0.375,0.5,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0,1,1,0,1.5,1
41,2,2026-04-04 16:38:08,800.0,0.0,0.0,800.0,800.0,0.6,5,2.5,0.6,0.6,0.6,0.5,2,0.5,2,0.5,0.0,0.0,0.0,0,0,0,1.6666666666666667,1
40,2,2026-04-04 16:39:08,800.0,0.0,0.0,800.0,800.0,0.6666666666666666,6,2.3333333333333335,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,3,0.3333333333333333,0.0,0.0,0.0,0,0,0,1.5,1
39,2,2026-04-04 17:21:00,1100.0,-300.0,-300.0,800.0,800.0,0.7142857142857143,7,2.5,0.9047619047619048,1.0,0.7142857142857143,0.75,4,0.75,4,0.25,0.0,0.0,0.0,0,0,0,1.4,0
38,2,2026-04-04 17:23:57,1100.0,-300.0,-300.0,800.0,800.0,0.625,8,3.5,0.44791666666666663,0.6666666666666666,0.0,0.6,5,0.6,5,0.4,0.0,0.0,0.0,1,1,0,1.4,0
37,2,2026-04-07 15:07:49,800.0,0.0,0.0,800.0,800.0,0.5555555555555556,9,9.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5,6,0.5,6,0.5,0.0,0.0,0.0,0,0,0,1.4,0
